
NOR Rating - Baneseilas begge dager
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;Race 3;Race 4;Race 5;Race 6;
1;NOR-9660;ANDANTE;X-332;6;1;1;1;1;Terje Hall Torgersen (Bundefjorden Seilforening
2;NOR-26;PAKALOLO II;Farr 30;14;7;2;1;4;Marius Andersen (Frognerkilen Seilforening Av 1860
3;NOR-15666;SONS OF HURRICANES;Sinergia 40;14;9;4;4;1;JON SVERRE HØIDEN (Bundefjorden Seilforening)
4;NOR-11;FARRARI;Farr30;15;5;3;4;3;lars aarum (Sarpsborg Seilforening
5;NOR-11197;MULEN;First 36,7;23;3;9;6;3;Henning Carlsen (Bærum Seilforening
6;NOR-14887;JUBEL;J/109;30;4;6;10;8;Jon Holm (Oslo Seilforening
7;NOR-14628;VINDFANG;HP1030;32;8;5;10;7;Tormod S. Petersen (Nesodden Seilforening
8;NOR-14073;BLOOM;X-34;34;2;8;8;9;Pål Rødseth (Bærum Seilforening
9;SWE-8790;CARBONCAVE;ILC 40;35;10;DNC (16);6;6;Per Asp (Nesodden Seilforening
10;NOR-14901;SAILFISH;Wraceboats GP26;48;DNC (16);9;99;11;Christopher Robin Alveberg (Bundefjorden Seilforening
11;NOR-14570;MARIALENE;Elan 350;50;6;10;11;11;Steinar Jørgensen (Drøbaksund Seilforening
12;NOR-9995;MORRADI;MUMM 36;69;DNC (16);DNC (16);DNC (16);DNC (16);Jakob Orheim (Frognerkilen Seilforening Av 1860

NOR Rating - Distanseseilas - begge dager
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-5019;PROXFLYER;ClubSwan50;7;1;6;;;Jan Muren (Asker Seilforening
2;NOR-10240;FRITT FRAM;First 40.7;7;5;2;;;Audun Gjøstein (Asker Seilforening
3;NOR-12502;BRAVEHART;X-Yacht IMX-38;9;4;5;;;Kim Knudsen (Kongelig Norsk Seilforening
4;NOR-10947;EASYGOING;X-46;12;2;10;;;Mikkel Vislie (Kongelig Norsk Seilforening
5;NOR-11172;TANGO II;Grand Soleil 42R;12;3;9;;;Iver Iversen (Nesodden Seilforening
6;NOR-215;SMILEY;J-80;13;9;4;;;Frank Jensen (Røyken Seilforening
7;NOR-13946;JUST 4 FUN;Salona 34;14;11;3;;;Christian Toverud (Bundefjorden Seilforening
8;NOR-15628;WILDA;SO 409 Performance;14;6;8;;;Kristian Jerpetjøn (Nesodden Seilforening
9;NOR-9555;SNEHVIT;N-Yachts 41;14;7;7;;;ARILD BERG (Bærum Seilforening
10;NOR-190;SALACIA;Albin eXpress;20;DNC (19);1;;;Marius Bakke (Bundefjorden Seilforening
11;NOR-15731;ENDERPEARL;CNB 76;23;10;13;;;Kenneth Bjørklund (Holmestrand Seilforening
12;NOR-14927;TAMARA;Jeanneau;24;12;12;;;Lars-Fredrik Moe-Helgesen (Drøbaksund Seilforening
13;NOR-12566;RUFFEN;Hanse 400e;27;8;DNC (19);;;Richard von Mansfeldt Asheim (Asker Seilforening
14;NOR-13911;FLAKS;archaambault a35;30;DNC (19);11;;;andreas haug (Frognerkilen Seilforening Av 1860
15;NOR-6938;HAVHEKSEN;Maxi 999;38;RET (19);DNF (19);;;LARS BERGER (Drøbaksund Seilforening

Shorthanded - Distanseseilas - begge dager
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-11464;ELDORADO;X-37;3;2;1;;;Alf Magne Andersen (Nesodden Seilforening
2;NOR-10203;JAKOBINE;J/92;3;1;2;;;Yngve Lønmo (Hurum Seilforening
3;NOR-10333;XANA;IMX 40;10;7;3;;;Per Haugen (Oppegård Seilforening
4;NOR-28;HYAK;SunFast 3200;10;3;7;;;Pål Kragerud (Kongelig Norsk Seilforening
5;NOR-14784;KåRSTUA;Elan 310;11;6;5;;;Andreas Abildgaard (Kongelig Norsk Seilforening
6;NOR-11956;MORILD;Elan 37;11;5;6;;;Olav Mork Bjørnås (Nesodden Seilforening
7;NOR-15670;MIKA;JPK;13;4;9;;;HARALD WALDER (Bærum Seilforening
8;NOR-15461;FLYING SCOTSMAN;SF 3600;19;8;11;;;Colin Campbell (Hurum Seilforening
9;NOR-9979;RIPSTICK;J/92;23;15;8;;;Peter Holm (Bærum Seilforening
10;NOR-10901;BETTY BOOP;Bavaria 35 Match;23;10;13;;;Morten Christensen (Skøyen Seilforening
11;NOR-10580;STAKKATO;First 27.7;24;11;13;;;Eirik Nordli (Bundefjorden Seilforening
12;NOR-5952;EXCITER;Scanmar 33;27;17;10;;;Oddvar Eide (Hurum Seilforening
13;NOR-12538;MASITO;Hanse 430;27;12;15;;;Eivind Bakke (Bundefjorden Seilforening
14;NOR-10133;XBOX;IMX 40;28;9;19;;;Fredrik Holm (Kongelig Norsk Seilforening
15;NOR-11285;TUSSå;Sun Fast 35;30;18;12;;;Frank Sandberg (Drøbaksund Seilforening
16;NOR-10910;ILLE MORO;Bavaria 42Match;31;RET (27);4;;;LUDVIG DAAE (Bundefjorden Seilforening
17;NOR-12466;MIA MARA;Elan 37;33;16;17;;;Jon Moholth (Tønsberg Seilforening
18;NOR-12784;BRIS;Arcona 370;35;13;22;;;RAGNAR ANDREASSEN (Bundefjorden Seilforening
19;NOR-15413;RUBIN 4;Dehler38;35;14;21;;;harald helverschou (Kongelig Norsk Seilforening
20;NOR-13533;CRUELLA;Sun Fast 3200;36;20;16;;;Eira Naustvik (Asker Seilforening
21;NOR-10044;WENDIGO 2;Dehleer 36 JV;37;19;18;;;Gunnar Gundersen (Frognerkilen Seilforening Av 1860
22;NOR-14489;DIVA;Hanse 430;41;21;20;;;Bjørn Strand Jacobsen (Bundefjorden Seilforening
23;NOR-15425;MARLIN;Arcona 380;49;22;DNC (27);;;Bjørn Dalen (Bærum Seilforening
