Doublehanded (DH1)
1;NOR-16080;Henrik TANGEN;BREV;arcona 385;Ibb
2;NOR-10185;Jan Petter RØD;TØSF;DEHLER 36 JV;Fri av fjærholmen
3;NOR-12221;Andreas S T BRUNVOLL;BÆRU;Seaquest 36;Milliways
4;NOR-13892;Eivind CARLSEN;FRED;Dehler 39 SQ;Bagheera
5;NOR-14887;Jon HOLM;OSLO;J109;Jubel
6;NOR-10954;Carl Hjalmar KNAP;ASKR;Bavaria 38 Match;PuraVida
7;NOR-11197;Henning CARLSEN;BÆRU;FIRST 36.7;Mulen
8;NOR-026;Marius ANDERSEN;FROG;FARR 30;PAKALOLO II
9;NOR-12784;Ragnar ANDREASSEN;BUND;Arcona 370;Bris
10;NOR-16251;Eystein LYCHE;KNS;Italia 9.98;Luckys Wolf
11;NOR-151;Pål FIVE;KNS;11 Metre;Greenpeas
12;NOR-14990;Dag TØNDER;KNS;Bavaria 35 Match;Mani
13;NOR-192;Øyvind BANGSUND;BUND;MELGES 24 OD;Gudrun
14;NOR-804;Morten Ebbell HESTNES;BUND;Melges 24;kuling
15;NOR-400;Emil Mikael Kjellesvik GOFFENG;BUND;Melges 24;Fortissimo
16;NOR-22;Pål-André KJØNIKSEN;MOSS;X-35 OD;Phoenix
17;NOR-15986;Jon RYSST;BÆRU;Neo 350;Aurora
18;NOR-88;Yngve AMUNDSEN;ULLE;X-35 OD;Akhillevs-X
19;NOR-11850;Vegard PETTERSEN;HOLM;C&C 115;Stella Rosso
20;NOR-11733;Pål SALTVEDT;FROG;Elan 40;Jonna
21;NOR-16104;John Harald HENRIKSEN;BÆRU;Arcona 345;Livlig
22;NOR-12111;Eirik BJARGO;BÆRU;GRAND SOLEIL 40 C;Cebina
23;NOR-26;Tore KANDAHL;ASKR;Fareast 28R;Destin
24;NOR-14570;Steinar JØRGENSEN;DSSF;Elan 350;Marialene
25;NOR-10616;Jens SCHAU-HANSEN;KNS;One Ton;Blue Note
26;NOR-14628;Tormod S PETERSEN;NESO;HP 1030;Vindfang
