
NOR Rating - Bane liten klasse - klasseflagg Q
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;Race 3;Race 4;Race 5;Race 6;
11;NOR-804;KULING;Melges 24;0;0;0;0;0;Morten Ebbell Hestnes (Bundefjorden Seilforening
11;NOR-13920;SMIL;First 35;0;0;0;0;0;Ragnar Wisløff (Asker Seilforening
11;NOR-11534;LARSSON;Dehler 34;0;0;0;0;0;STIG E ANDRESEN (Oppegård Seilforening
11;NOR-10107;JOY IV;First 31.7;0;0;0;0;0;TROND GUNDERSEN (Asker Seilforening
11;NOR-9660;ANDANTE;X-332;0;0;0;0;0;Terje Hall Torgersen (Bundefjorden Seilforening
11;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;0;0;0;0;0;Steinar Waler (Røyken Seilforening
11;NOR-9775;BILBO;First 31.7;0;0;0;0;0;Jonas Smitt-Amundsen (Kongelig Norsk Seilforening
11;NOR-11197;MULEN;First 36,7;0;0;0;0;0;Henning Carlsen (Bærum Seilforening
11;NOR-13372;SANA;First 31.7;0;0;0;0;0;Ole Fredrik Melleby (Asker Seilforening
11;NOR-145;KISMET;Knarr;0;0;0;0;0;Tilo Pfleger (Oslo Seilforening
11;NOR-12106;FORTISSIMO;First 31.7;0;0;0;0;0;Emil Kjellesvik (Bundefjorden Seilforening

NOR Rating - Bane stor klasse - klasseflagg E
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;Race 3;Race 4;Race 5;Race 6;
12;NOR-15666;SONS OF HURRICANES;Sinergia 40;0;0;0;0;0;JON SVERRE HØIDEN (Bundefjorden Seilforening
12;NOR-14901;SAILFISH;Wraceboats GP26;0;0;0;0;0;Christopher Robin Alveberg (Bundefjorden Seilforening
12;NOR-202;VORTEX;X-35;0;0;0;0;0;Martin Moe (Kongelig Norsk Seilforening
12;NOR-21;BARCAROLE OPUS IV;X-35 One design;0;0;0;0;0;BJØRN VADHOLM (Kongelig Norsk Seilforening
12;NOR-26;PAKALOLO II;Farr 30;0;0;0;0;0;Marius Andersen (Frognerkilen Seilforening Av 1860
12;NOR-11;FARRARI;Farr 30;0;0;0;0;0;lars aarum (Sarpsborg Seilforening
12;NOR-14628;VINDFANG;HP1030;0;0;0;0;0;Tormod S. Petersen (Nesodden Seilforening
12;NOR-88;AKHILLEVS-X;X-35;0;0;0;0;0;Yngve Amundsen (Ullern Seilforening
12;SWE-8790;CARBONCAVE;ILC 40;0;0;0;0;0;Per Asp (Nesodden Seilforening
12;NOR-14570;MARIALENE;Elan 350;0;0;0;0;0;Steinar Jørgensen (Drøbaksund Seilforening
12;SWE-9995;MORRADI;mumm36;0;0;0;0;0;lars kvakkestad (Frognerkilen Seilforening Av 1860
12;NOR-10240;FRITT FRAM!;First 40.7;0;0;0;0;0;Audun Gjøstein (Asker Seilforening

NOR Rating - Distanseseilas begge dager - klasseflagg D
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-190;SALACIA;Albin Express;4;1;3;;;Marius Bakke (Bundefjorden Seilforening
2;NOR-9555;SNEHVIT;N-Yachts 41;4;2;2;;;ARILD BERG (Bærum Seilforening
3;NOR-15628;WILDA;SO 409 Performance;9;5;4;;;Kristian Jerpetjøn (Nesodden Seilforening
4;NOR-13946;JUST 4 FUN;Salona 34;10;4;6;;;Christian Toverud (Bundefjorden Seilforening
5;NOR-11172;TANGO II;Grand Soleil 42 R;11;10;1;;;Egil Kjetil Olsen (Nesodden Seilforening
6;NOR-12784;BRIS;Arcona 370;12;7;5;;;RAGNAR ANDREASSEN (Bundefjorden Seilforening
7;NOR-162;NONAME;11 MOD;15;3;DNF (12);;;Pål Even Jahren (Kongelig Norsk Seilforening
