
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2015-05-30 18:42:03</font><p><a href="?action=&regatta=1942&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Endelige resultater
Doublehanded Fredag
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Fredag
6;NOR-10044;Wendigo 2;Gunnar Gundersen;Kongelig Norsk Seilforening;Dehleer 36 JV;0,9740;6;6
7;NOR-13573;Amarone;Geir Melby;Asker Seilforening;Elan 340;0,9490;7;7
8;NOR-14109;Little Wing;Kristian Heder;Asker Seilforening;T-34;0,9930;8;8
9;NOR-13975;Sparkling girl;HARALD WALDER;Bærum Seilforening;Archambault 31;0,9700;9;9
10;NOR-11733;Mairi Bhan II;Kai Erlend Aas;Asker Seilforening;Elan 40;1,0030;10;10
11;NOR-10760;Naomi;Ole Gunnar Tveiten;Asker Seilforening;Jeanneau Sun Fast 35;0,9480;11;11
12;NOR-463;Xess;Jon Håvard Loge;Bærum Seilforening;X99;0,9780;;DNS (13)
TUR u spinnaker LÃ¸rdag
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Lørdag
1;NOR-15158;Le Soleil;Kristian Torgersen;Kongelig Norsk Seilforening;Jeanneau 36i;;1;1
