
Doublehanded Fredag og Lørdag rating < 0,99
Plass;Seilnr;Båt;Båttype;HCP;Poeng;Fredag;Lørdag;
9;NOR-12106;FORTISSIMO;First 31.7;0,914;3:14:36;2:57:51;9;9;Emil Kjellesvik (Bundefjorden Seilforening
10;NOR-12512;ENDORFINE;Elan 340;0,936;3:10:57;2:58:43;10;10;Ketil Samuelsen (Asker Seilforening
11;NOR-10760;NAOMI;Jeanneau Sun Fast 35;0,950;3:09:34;3:00:05;11;11;Ole Gunnar Tveiten (Asker Seilforening
12;NOR-14135;ADRENALINA;Bavaria 39 Cruiser;0,918;3:20:30;3:04:03;12;12;Nisl Petter Flatner (Drøbaksund Seilforening
13;NOR-12312;FADERNES BESLUTNING;LYS;0,951;3:18:13;3:08:30;13;13;jan nic. langfeldt (Asker Seilforening
14;NOR-6366;CILANTRA;Twostar 36;0,970;3:18:20;3:12:23;14;14;Axel Nissen-Lie (Nesøya Seilforening
15;NOR-11324;NEMI;Bavaria 36;0,944;3:41:09;3:28:45;15;15;Mariann Nornes (Oppegård Seilforening
NOR Rating Lørdag rating ≥ 0,987
Plass;Seilnr;Båt;Båttype;HCP;Reell;Justert;Poeng;Lørdag;
1;NOR-14109;LITTLE WING;T-34;0,988;2:44:07;2:42:08;1;1;Kristian Heder (Asker Seilforening
2;NOR-9299;OLISABETH;Luffe 40MH;1,021;2:39:44;2:43:05;2;2;Svein Are Løtveit (Asker Seilforening
3;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;0,992;2:45:46;2:44:26;3;3;Steinar Waler (Røyken Seilforening
4;NOR-10901;BETTY BOOP;Bavaria 35 Match;0,996;2:45:37;2:44:57;4;4;Morten Christensen (Skøyen Seilforening
5;NOR-11172;GRÅTASS;Grand Soleil 42R;1,082;2:33:28;2:46:03;5;5;Bente Vikenes (Asker Seilforening
6;NOR-11400;X´EST LA VIE;X-40;1,030;2:46:27;2:51:26;6;6;Ketil Fridheim (Kongelig Norsk Seilforening
7;NOR-10240;FRITT FRAM!;First 40.7;1,023;2:48:02;2:51:53;7;7;Audun Gjøstein (Asker Seilforening
8;NOR-11733;MAIRI BHAN II;Elan 40;1,001;2:52:38;2:52:48;8;8;Kai Erlend Aas (Asker Seilforening
9;NOR-9555;SNEHVIT;N-Yachts 41;1,024;2:50:13;2:54:18;9;9;ARILD BERG (Bærum Seilforening
10;NOR-14628;VINDFANG;HP1030;1,040;2:49:24;2:56:10;10;10;Tormod S. Petersen (Nesodden Seilforening
11;NOR-10947;EASYGOING;X-46;1,091;2:42:20;2:57:06;11;11;Mikkel Vislie (Bærum Seilforening
12;NOR-9155;HAVHESTEN;First 41S5;0,992;2:58:45;2:57:19;12;12;Magnus Lingjærde (Bærum Seilforening
13;NOR-3;ANAHITA;Laurin One Off;1,035;2:52:29;2:58:31;13;13;Jens Gran (Kongelig Norsk Seilforening
14;NOR-10016;LUFELIA;Luffe 43 DS;1,024;2:55:07;2:59:19;14;14;Erik Toftenes (Asker Seilforening
15;NOR-13348;ANDRIK;Hanse 370;0,995;3:51:42;3:50:32;15;15;Johan Chr. Hovland (Oslo Seilforening
TUR klasse u/spinnaker Lørdag
Plass;Seilnr;Båt;Båttype;HCP;Reell;Justert;Poeng;Lørdag;
1;NOR-245;MUSIKANA III;Dragonfly 25;0,000;3:20:09;3:20:09;1;1;Jan Birger Jansen (Kongelig Norsk Seilforening
2;NOR-11328;IL TEMPORALE;Sun fast 32i;0,000;3:45:10;3:45:10;2;2;Maarten Van der Harst (Hurum Seilforening
3;NOR-0000;SOL;Mamba 33;0,000;;DNF (4);;;Tore Skjulstad Bryhni (Kongelig Norsk Seilforening
