Doublehanded
1;NOR-13372;SANA;Ole Fredrik Melleby;ASKR;First 31.7
2;NOR-11817;YESS;Charlotta Jonsson;ASKR;First 31,7
3;NOR-13918;MALOLO;Arne Bratlie;HURU;Sun Fast 37
4;NOR-15670;MIKA;harald walder;BÆRU;JPK 1080
5;NOR-13063;WII 2;Ole Aabel;ASKR;Farr 30 MOD
6;NOR-153;XANTHE;Yngve Lønmo;HURU;X-35
7;NOR-10203;JAKOBINE;Kaja Bjønnes Di Leo;BUND;J/92
8;NOR-16251;IYLO;Kjetil Tørseth;HURU;IY 9.98
9;NOR-15461;MS. MELLETT;Edvard Aspelund;BUND;Sun Fast 3600
10;NOR-14784;OUT OF OFFICE;Geir Kristensen;ASKR;Elan 310
11;NOR-33002;PRETTY FAST;Lars-Fredrik Moe-Helgesen;DSSF;Sun Fast 3300
12;NOR-5952;EXCITER;Oddvar Eide;HURU;Scanmar 33

Singlehanded
1;NOR-16241;HER OG Nå;Håvard Alstad;ASKR;Bavaria 32 Cruiser
2;NOR-11110;LUPONA;Wolfgang Eichstetter;ASKR;Kron
3;NOR-10240;FRITT FRAM!;Audun Gjøstein;ASKR;First 40.7
4;NOR-33005;ARGO VIII;Frode Tobiasson;BUND;SF 3300
5;NOR-11285;TUSSå;Frank Sandberg;KNS;Sun Fast 35
6;NOR-14919;MINION;Øystein Skjønborg;ASKR;Faurby 396E
7;NOR-5701;STYRMOR;Geir Daleng;ASKR;Albin Alfa
8;NOR-14911;GODSPEED;Anders Olstad;--;Life 7.5
